x,y
2.25,0
2.27,0
2.45,0.01
2.51,0.03
2.56,0.06
2.65,0.13
2.7,0.2
2.76,0.29
2.81,0.37
2.9,0.46
2.95,0.54
3.01,0.63
3.06,0.75
3.1,0.85
3.15,0.95
3.21,1
3.29,1.13
3.36,1.37
3.42,1.52
