x,y
1.15,0
1.85,0
1.9,0
2,0
2.21,0
2.3,0.02
2.4,0.04
2.5,0.13
2.6,0.26
2.7,0.34
2.8,0.53
2.9,0.73
3,0.92
3.1,1.12
3.2,1.33
3.3,1.53
3.4,1.75
