x,y
1.6,0
1.7,0.01
1.9,0.08
2,0.23
2.1,0.44
2.2,0.69
2.3,0.92
2.4,1.18
2.5,1.45
2.6,1.71
2.7,2.01
2.8,2.27
2.9,2.55
3,2.82
3.1,3.11
